Title,Checked
Smart materials and technologies,0
Advanced building construction materials handbook,0
Materials Science in Construction,0
Materials for architectural design,0
biopolymers and biotech admixtures for Eco-Efficient Construction Materials,0
Architecture Principal,0
Civil Engineering materials,0
Construction and building design materials and techniques,0
construction materials,0
material imagination in architecture,0
eco-efficient materials for mitigating building cooling needs,0
basic architecture,0
